session_key,track,driver,driver_number,lap,pit_duration,team
9869,Interlagos,L NORRIS,4,30,23.4,McLaren
9869,Interlagos,L NORRIS,4,50,23.2,McLaren
9869,Interlagos,G RUSSELL,63,34,23.3,Mercedes
9869,Interlagos,G RUSSELL,63,48,23.1,Mercedes
9869,Interlagos,O PIASTRI,81,51,23.1,McLaren
9877,Mexico_City,K ANTONELLI,12,22,22.4,Mercedes
9877,Mexico_City,K ANTONELLI,12,47,24.5,Mercedes
9877,Mexico_City,F ALONSO,14,20,26.8,AstonMartin
9877,Mexico_City,C LECLERC,16,31,22.2,Ferrari
9877,Mexico_City,L STROLL,18,26,22.0,AstonMartin
9877,Mexico_City,L STROLL,18,43,23.7,AstonMartin
9877,Mexico_City,M VERSTAPPEN,1,37,22.7,RedBull
9877,Mexico_City,Y TSUNODA,22,36,31.6,RedBull
9877,Mexico_City,L HAMILTON,44,23,33.3,Ferrari
9877,Mexico_City,L HAMILTON,44,47,23.3,Ferrari
9877,Mexico_City,L NORRIS,4,34,22.5,McLaren
9877,Mexico_City,G RUSSELL,63,25,22.3,Mercedes
9877,Mexico_City,G RUSSELL,63,48,22.4,Mercedes
9877,Mexico_City,O PIASTRI,81,24,23.2,McLaren
9877,Mexico_City,O PIASTRI,81,47,22.1,McLaren
9888,Austin,K ANTONELLI,12,31,23.9,Mercedes
9888,Austin,F ALONSO,14,30,24.0,AstonMartin
9888,Austin,C LECLERC,16,22,23.7,Ferrari
9888,Austin,L STROLL,18,28,24.1,AstonMartin
9888,Austin,M VERSTAPPEN,1,33,23.9,RedBull
9888,Austin,Y TSUNODA,22,29,24.5,RedBull
9888,Austin,L HAMILTON,44,31,23.9,Ferrari
9888,Austin,L NORRIS,4,32,24.5,McLaren
9888,Austin,G RUSSELL,63,33,23.5,Mercedes
9888,Austin,O PIASTRI,81,30,23.4,McLaren
9896,Singapore,K ANTONELLI,12,25,23.8,Mercedes
9896,Singapore,F ALONSO,14,27,30.7,AstonMartin
9896,Singapore,C LECLERC,16,21,23.6,Ferrari
9896,Singapore,L STROLL,18,38,24.0,AstonMartin
9896,Singapore,M VERSTAPPEN,1,19,24.0,RedBull
9896,Singapore,Y TSUNODA,22,13,24.6,RedBull
9896,Singapore,L HAMILTON,44,24,24.7,Ferrari
9896,Singapore,L HAMILTON,44,46,23.3,Ferrari
9896,Singapore,L NORRIS,4,26,23.3,McLaren
9896,Singapore,G RUSSELL,63,25,23.9,Mercedes
9896,Singapore,O PIASTRI,81,27,26.6,McLaren
9904,Baku,K ANTONELLI,12,18,20.6,Mercedes
9904,Baku,F ALONSO,14,21,25.7,AstonMartin
9904,Baku,C LECLERC,16,19,20.5,Ferrari
9904,Baku,M VERSTAPPEN,1,40,20.2,RedBull
9904,Baku,Y TSUNODA,22,38,20.3,RedBull
9904,Baku,L HAMILTON,44,36,20.0,Ferrari
9904,Baku,L NORRIS,4,37,21.9,McLaren
9904,Baku,G RUSSELL,63,39,19.8,Mercedes
9912,Monza,K ANTONELLI,12,28,24.9,Mercedes
9912,Monza,F ALONSO,14,20,25.1,AstonMartin
9912,Monza,C LECLERC,16,33,24.2,Ferrari
9912,Monza,L STROLL,18,49,38.4,AstonMartin
9912,Monza,M VERSTAPPEN,1,37,24.5,RedBull
9912,Monza,Y TSUNODA,22,19,24.3,RedBull
9912,Monza,L HAMILTON,44,38,23.9,Ferrari
9912,Monza,L NORRIS,4,46,27.4,McLaren
9912,Monza,G RUSSELL,63,27,25.0,Mercedes
9912,Monza,O PIASTRI,81,45,23.6,McLaren
9920,Zandvoort,K ANTONELLI,12,23,17.4,Mercedes
9920,Zandvoort,K ANTONELLI,12,51,17.3,Mercedes
9920,Zandvoort,K ANTONELLI,12,53,21.3,Mercedes
9920,Zandvoort,F ALONSO,14,18,17.4,AstonMartin
9920,Zandvoort,F ALONSO,14,40,17.9,AstonMartin
9920,Zandvoort,C LECLERC,16,22,17.0,Ferrari
9920,Zandvoort,C LECLERC,16,52,17.0,Ferrari
9920,Zandvoort,L STROLL,18,8,17.5,AstonMartin
9920,Zandvoort,L STROLL,18,52,17.5,AstonMartin
9920,Zandvoort,M VERSTAPPEN,1,23,18.7,RedBull
9920,Zandvoort,M VERSTAPPEN,1,53,18.2,RedBull
9920,Zandvoort,Y TSUNODA,22,19,18.3,RedBull
9920,Zandvoort,Y TSUNODA,22,53,18.1,RedBull
9920,Zandvoort,L NORRIS,4,23,20.0,McLaren
9920,Zandvoort,L NORRIS,4,53,22.6,McLaren
9920,Zandvoort,G RUSSELL,63,23,18.8,Mercedes
9920,Zandvoort,G RUSSELL,63,53,17.3,Mercedes
9920,Zandvoort,O PIASTRI,81,23,17.3,McLaren
9920,Zandvoort,O PIASTRI,81,53,18.5,McLaren
9928,Hungaroring,K ANTONELLI,12,21,22.3,Mercedes
9928,Hungaroring,F ALONSO,14,39,22.2,AstonMartin
9928,Hungaroring,C LECLERC,16,19,21.1,Ferrari
9928,Hungaroring,C LECLERC,16,40,21.1,Ferrari
9928,Hungaroring,L STROLL,18,36,21.4,AstonMartin
9928,Hungaroring,M VERSTAPPEN,1,17,21.4,RedBull
9928,Hungaroring,M VERSTAPPEN,1,48,21.2,RedBull
9928,Hungaroring,Y TSUNODA,22,20,21.2,RedBull
9928,Hungaroring,Y TSUNODA,22,37,21.5,RedBull
9928,Hungaroring,L HAMILTON,44,42,21.1,Ferrari
9928,Hungaroring,L NORRIS,4,31,20.9,McLaren
9928,Hungaroring,G RUSSELL,63,19,21.7,Mercedes
9928,Hungaroring,G RUSSELL,63,43,21.4,Mercedes
9928,Hungaroring,O PIASTRI,81,18,21.1,McLaren
9928,Hungaroring,O PIASTRI,81,45,20.9,McLaren
9939,SpaFrancorchamps,K ANTONELLI,12,12,23.6,Mercedes
9939,SpaFrancorchamps,K ANTONELLI,12,30,23.0,Mercedes
9939,SpaFrancorchamps,F ALONSO,14,11,23.4,AstonMartin
9939,SpaFrancorchamps,F ALONSO,14,29,23.6,AstonMartin
9939,SpaFrancorchamps,C LECLERC,16,12,23.8,Ferrari
9939,SpaFrancorchamps,L STROLL,18,12,23.7,AstonMartin
9939,SpaFrancorchamps,M VERSTAPPEN,1,12,25.9,RedBull
9939,SpaFrancorchamps,Y TSUNODA,22,13,23.3,RedBull
9939,SpaFrancorchamps,L HAMILTON,44,11,23.2,Ferrari
9939,SpaFrancorchamps,L NORRIS,4,13,24.3,McLaren
9939,SpaFrancorchamps,G RUSSELL,63,12,23.6,Mercedes
9939,SpaFrancorchamps,O PIASTRI,81,12,23.8,McLaren
9947,Silverstone,K ANTONELLI,12,2,28.7,Mercedes
9947,Silverstone,K ANTONELLI,12,9,28.7,Mercedes
9947,Silverstone,K ANTONELLI,12,20,29.7,Mercedes
9947,Silverstone,F ALONSO,14,11,28.7,AstonMartin
9947,Silverstone,F ALONSO,14,37,28.5,AstonMartin
9947,Silverstone,C LECLERC,16,10,29.0,Ferrari
9947,Silverstone,C LECLERC,16,42,28.8,Ferrari
9947,Silverstone,L STROLL,18,6,29.1,AstonMartin
9947,Silverstone,L STROLL,18,10,28.8,AstonMartin
9947,Silverstone,L STROLL,18,41,28.5,AstonMartin
9947,Silverstone,M VERSTAPPEN,1,11,28.1,RedBull
9947,Silverstone,M VERSTAPPEN,1,41,29.6,RedBull
9947,Silverstone,Y TSUNODA,22,11,28.5,RedBull
9947,Silverstone,Y TSUNODA,22,41,40.1,RedBull
9947,Silverstone,L HAMILTON,44,11,28.9,Ferrari
9947,Silverstone,L HAMILTON,44,41,29.1,Ferrari
9947,Silverstone,L NORRIS,4,11,30.6,McLaren
9947,Silverstone,L NORRIS,4,44,28.2,McLaren
9947,Silverstone,G RUSSELL,63,10,28.6,Mercedes
9947,Silverstone,G RUSSELL,63,38,28.2,Mercedes
9947,Silverstone,O PIASTRI,81,11,29.4,McLaren
9947,Silverstone,O PIASTRI,81,43,40.2,McLaren
9955,Spielberg,F ALONSO,14,33,21.8,AstonMartin
9955,Spielberg,C LECLERC,16,25,21.3,Ferrari
9955,Spielberg,C LECLERC,16,49,21.5,Ferrari
9955,Spielberg,L STROLL,18,26,22.9,AstonMartin
9955,Spielberg,L STROLL,18,53,21.7,AstonMartin
9955,Spielberg,Y TSUNODA,22,18,21.4,RedBull
9955,Spielberg,Y TSUNODA,22,30,30.0,RedBull
9955,Spielberg,Y TSUNODA,22,60,32.6,RedBull
9955,Spielberg,L HAMILTON,44,26,21.2,Ferrari
9955,Spielberg,L HAMILTON,44,50,21.1,Ferrari
9955,Spielberg,L NORRIS,4,20,22.1,McLaren
9955,Spielberg,L NORRIS,4,52,21.4,McLaren
9955,Spielberg,G RUSSELL,63,18,21.3,Mercedes
9955,Spielberg,G RUSSELL,63,45,21.8,Mercedes
9955,Spielberg,O PIASTRI,81,24,22.5,McLaren
