session_key,track,driver,driver_number,lap,s1,s2,s3,lap_time,is_pit_out_lap,is_pit_in_lap,is_clean_lap,dnf,team
10006,Suzuka,O PIASTRI,81,17,32.895,42.574,18.198,93.667,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,18,32.913,42.528,18.219,93.66,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,19,32.824,42.465,18.146,93.435,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,20,32.616,42.366,20.377,95.359,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,21,53.115,41.802,18.118,113.035,True,,False,0,McLaren
10006,Suzuka,O PIASTRI,81,22,33.356,42.232,18.256,93.844,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,23,32.826,42.102,18.089,93.017,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,24,32.447,41.936,18.003,92.386,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,25,32.376,41.853,18.17,92.399,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,26,32.383,41.881,18.176,92.44,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,27,32.342,41.983,18.11,92.435,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,28,32.346,41.765,18.031,92.142,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,29,32.362,41.856,17.963,92.181,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,30,32.344,41.794,17.909,92.047,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,31,32.231,41.816,17.954,92.001,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,32,32.131,41.787,17.91,91.828,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,33,31.987,41.515,17.93,91.432,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,34,32.021,41.658,18.002,91.681,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,35,31.963,41.83,18.061,91.854,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,36,31.962,41.769,17.884,91.615,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,37,31.852,41.788,17.976,91.616,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,38,31.858,41.899,18.005,91.762,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,39,31.856,41.814,17.961,91.631,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,40,31.754,41.767,17.954,91.475,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,41,31.799,41.804,17.962,91.565,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,42,31.663,41.733,17.934,91.33,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,43,31.629,41.763,18.028,91.42,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,44,31.859,42.073,17.943,91.875,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,45,31.703,41.872,17.976,91.551,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,46,31.611,41.703,17.97,91.284,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,47,31.547,41.703,17.972,91.222,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,48,31.387,41.719,18.003,91.109,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,49,31.819,42.03,17.992,91.841,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,50,31.526,41.954,18.064,91.544,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,51,31.518,41.697,17.924,91.139,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,52,31.473,41.712,18.016,91.201,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,53,31.335,41.643,18.061,91.039,False,,True,0,McLaren
10014,Sakhir,K ANTONELLI,12,1,,44.112,24.317,,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,2,31.202,42.869,24.116,98.187,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,3,31.022,43.195,24.21,98.427,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,4,31.11,43.098,24.356,98.564,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,5,31.276,43.027,24.217,98.52,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,6,31.381,42.994,24.259,98.634,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,7,31.347,43.19,24.368,98.905,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,8,31.492,43.276,24.429,99.197,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,9,31.431,43.668,24.547,99.646,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,10,31.633,43.431,24.403,99.467,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,11,31.598,43.638,24.431,99.667,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,12,31.623,43.561,26.702,101.886,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,13,52.28,43.491,23.942,119.713,True,,False,0,Mercedes
10014,Sakhir,K ANTONELLI,12,14,30.789,42.732,24.211,97.732,False,,True,0,Mercedes
10014,Sakhir,K ANTONELLI,12,15,30.955,43.12,24.322,98.397,False,,True,0,Mercedes
