session_key,track,driver,driver_number,team,grid,finish_position,status,best_lap_time,pit_count,dnf
9920,Zandvoort,M VERSTAPPEN,1,RedBull,,2.0,,,2,0
9920,Zandvoort,Y TSUNODA,22,RedBull,,9.0,,,2,0
9920,Zandvoort,L HAMILTON,44,Ferrari,,,,,0,1
9920,Zandvoort,L NORRIS,4,McLaren,,18.0,,,2,0
9920,Zandvoort,G RUSSELL,63,Mercedes,,4.0,,,2,0
9920,Zandvoort,O PIASTRI,81,McLaren,,1.0,,,2,0
9928,Hungaroring,K ANTONELLI,12,Mercedes,,10.0,,,1,0
9928,Hungaroring,F ALONSO,14,AstonMartin,,5.0,,,1,0
9928,Hungaroring,C LECLERC,16,Ferrari,,4.0,,,2,0
9928,Hungaroring,L STROLL,18,AstonMartin,,7.0,,,1,0
9928,Hungaroring,M VERSTAPPEN,1,RedBull,,9.0,,,2,0
9928,Hungaroring,Y TSUNODA,22,RedBull,,17.0,,,2,0
9928,Hungaroring,L HAMILTON,44,Ferrari,,12.0,,,1,0
9928,Hungaroring,L NORRIS,4,McLaren,,1.0,,,1,0
9928,Hungaroring,G RUSSELL,63,Mercedes,,3.0,,,2,0
9928,Hungaroring,O PIASTRI,81,McLaren,,2.0,,,2,0
9939,SpaFrancorchamps,K ANTONELLI,12,Mercedes,,16.0,,,2,0
9939,SpaFrancorchamps,F ALONSO,14,AstonMartin,,17.0,,,2,0
9939,SpaFrancorchamps,C LECLERC,16,Ferrari,,3.0,,,1,0
9939,SpaFrancorchamps,L STROLL,18,AstonMartin,,14.0,,,1,0
9939,SpaFrancorchamps,M VERSTAPPEN,1,RedBull,,4.0,,,1,0
9939,SpaFrancorchamps,Y TSUNODA,22,RedBull,,13.0,,,1,0
9939,SpaFrancorchamps,L HAMILTON,44,Ferrari,,7.0,,,1,0
9939,SpaFrancorchamps,L NORRIS,4,McLaren,,2.0,,,1,0
9939,SpaFrancorchamps,G RUSSELL,63,Mercedes,,5.0,,,1,0
9939,SpaFrancorchamps,O PIASTRI,81,McLaren,,1.0,,,1,0
9947,Silverstone,K ANTONELLI,12,Mercedes,,,,,3,1
9947,Silverstone,F ALONSO,14,AstonMartin,,9.0,,,2,0
9947,Silverstone,C LECLERC,16,Ferrari,,14.0,,,2,0
9947,Silverstone,L STROLL,18,AstonMartin,,7.0,,,3,0
9947,Silverstone,M VERSTAPPEN,1,RedBull,,5.0,,,2,0
9947,Silverstone,Y TSUNODA,22,RedBull,,15.0,,,2,0
9947,Silverstone,L HAMILTON,44,Ferrari,,4.0,,,2,0
9947,Silverstone,L NORRIS,4,McLaren,,1.0,,,2,0
9947,Silverstone,G RUSSELL,63,Mercedes,,10.0,,,2,0
9947,Silverstone,O PIASTRI,81,McLaren,,2.0,,,2,0
9955,Spielberg,K ANTONELLI,12,Mercedes,,,,,0,1
9955,Spielberg,F ALONSO,14,AstonMartin,,7.0,,,1,0
9955,Spielberg,C LECLERC,16,Ferrari,,3.0,,,2,0
9955,Spielberg,L STROLL,18,AstonMartin,,14.0,,,2,0
9955,Spielberg,M VERSTAPPEN,1,RedBull,,,,,0,1
